Date,Gain,HV,GM,GM1,GM2,GMfromSpectrum,GMfromSpectrumMethodNxExGE,GMfromSpectrumMethodNxChxCh,Temperature,Humidity,adcGM1,adcGM2,PIDTemperature1,MeteoOutsideTemperature,MeteoOutsideHumidity,MeteoInsideTemperature,MeteoInsideHumidity,MeteoRainfall,MeteoBarometer,MeteoAverageWindSpeed,MeteoPrevailingWindDirection
01.12.2020 00:00,54300.4,919.917,53.7381,53.76,0,39.7828,0,31.1701,-4.82005,39.1114,833.688,1,2.58,-1.66852,69.9333,21.6648,30.9333,0,1026.53,0.0208465,S
01.12.2020 01:00,54300.5,919.833,54.1267,54.149,0,40.0215,0,31.5753,-3.96971,39.0695,851.21,0,2.778,-1.41481,70.1833,21.5787,30.9833,0,1026.34,0.0952735,SSE
01.12.2020 02:00,54299,919.917,58.2475,58.273,0,40.3579,0,32.0422,-3.66446,38.7102,887.09,1,2.87933,-1.41111,69.6667,21.5259,30.9833,0,1026.12,0.190902,SSE
01.12.2020 03:00,54297.5,919.847,55.8432,55.867,0,40.3656,0,31.8844,-4.07343,39.2325,866.155,2,2.75203,-1.46019,70.0333,21.4759,30.3333,0,1025.8,0.297848,SSE
01.12.2020 04:00,54296.4,919.883,57.0017,57.026,0,40.438,0,32.0105,-3.17751,38.9374,876.242,2,3.15333,-0.950926,70,21.4602,30.0333,0,1025.66,0.339753,SE
01.12.2020 05:00,54295.6,919.933,57.6342,57.659,0,40.3906,0,31.9722,-3.5191,38.6877,881.75,2,3.00117,-0.975,70,21.4444,30.0167,0,1025.57,0.331298,SE
01.12.2020 06:00,54295.9,919.9,54.7017,54.724,0,40.3034,0,31.8494,-4.14413,38.8228,856.216,2,2.62733,-1.28611,70,21.4361,30,0,1025.42,0.3356,SSE
01.12.2020 07:00,54296.2,919.9,57.27,57.295,0,40.1798,0,31.6646,-4.42031,38.822,878.579,1,2.576,-1.55556,70,21.4537,30,0,1025.76,0.199251,SSE
01.12.2020 08:00,54296.6,919.9,53.6667,53.688,0,40.2356,0,31.7204,-4.02785,38.8812,847.205,2,2.71283,-1.39815,69.4333,21.5547,30,0,1025.97,0.439669,SSE
01.12.2020 09:00,54296.5,919.932,55.9797,56.003,0,40.3448,0,31.9111,-2.44001,38.9315,867.344,1,3.83915,-0.585185,67.15,21.7555,30,0,1026.37,0.539871,SSE
01.12.2020 10:00,54295,919.883,54.5483,54.571,0,40.3668,0,31.9672,1.42305,39.1988,854.881,1,5.171,0.460185,64.1333,21.9454,30,0,1026.48,0.617682,SSE
01.12.2020 11:00,54291.3,919.967,57.8833,57.908,0,40.4439,0,32.2004,3.02198,38.9707,883.919,2,7.732,2.02037,59.1333,22.0639,30,0,1026.32,0.592183,SSE
01.12.2020 12:00,54287,919.933,55.085,55.108,0,40.279,0,31.9228,4.77354,38.8313,859.554,2,9.2175,3.00648,53.85,22.0713,30,0,1026.33,0.582701,SSE
01.12.2020 13:00,54287.7,919.95,55.8133,55.837,0,40.1674,0,32.0487,1.96814,39.5244,865.895,1,7.76433,2.78426,51.3667,22.1241,30,0,1026.24,0.595868,SSE
01.12.2020 14:00,54288.7,919.9,57.0783,57.103,0,39.9823,0,31.5899,0.841619,39.7852,876.909,3,6.57233,2.32407,50.1833,22.2315,29.95,0,1026.42,0.616292,SE
01.12.2020 15:00,54292.7,919.898,56.5059,56.53,0,39.9596,0,31.7554,-1.1583,39.3825,871.926,1,5.55695,1.35648,53.0667,22.0241,29.3167,0,1026.9,0.316654,SE
